time,Rn_air__Bqm3,Rn_gw__Bqm3,Rn_offshore__Bqm3,Ra226_wat__Bqm3,Ra226_sed__Bqg,Rn_exch__Bqm3,Rn_wat__Bqm3,temp_wat__C,sal_wat,wind__ms,depth__m,f_mix_exp__Bqm2hr,gw60__m,winddir,windspgust,airtempavg,relhumavg,precip,hgrad,waveht__m,,
3/1/14 10:00,0.17,1000,0.17,0.17,,,,,,2.2,0.726,0,0.938784,82,11.18,19.9,78,0,1.212784,2.24173267,,
3/1/14 11:00,0.17,1000,0.17,0.17,,,,,,2.208333333,0.717,0,0.926592,84.5,11.36625,19.77916667,78.29166667,1.142916667,1.209592,2.244195295,,
3/1/14 12:00,0.17,1000,0.17,0.17,,,,,,2.216666667,0.786,0,0.908304,87,11.5525,19.65833333,78.58333333,2.285833333,1.122304,2.245225025,,
3/1/14 13:00,0.17,1000,0.17,0.17,,,,,,2.225,0.892,0,0.890016,89.5,11.73875,19.5375,78.875,3.42875,0.998016,2.239063574,,
3/1/14 14:00,0.17,1000,0.17,0.17,,,,,,2.233333333,1.04,0,0.874776,92,11.925,19.41666667,79.16666667,4.571666667,0.834776,2.229879452,,
3/1/14 15:00,0.17,1000,0.17,0.17,,,,,,2.241666667,1.156,0,0.86868,94.5,12.11125,19.29583333,79.45833333,5.714583333,0.71268,2.219108416,,
3/1/14 16:00,0.17,1000,0.17,0.17,,,,,,2.25,1.25,0,0.86868,97,12.2975,19.175,79.75,6.8575,0.61868,2.206472231,,
3/1/14 17:00,0.17,1000,0.17,0.17,,,,,,2.258333333,1.261,0,0.877824,99.5,12.48375,19.05416667,80.04166667,8.000416667,0.616824,2.187281919,,
3/1/14 18:00,0.17,1000,0.17,0.17,,,,,,2.266666667,1.195,0,0.890016,102,12.67,18.93333333,80.33333333,9.143333333,0.695016,2.173014713,,
3/1/14 19:00,0.17,1000,0.17,0.17,,,,,,2.275,1.058,0,0.902208,104.5,12.85625,18.8125,80.625,10.28625,0.844208,2.152576281,,
3/1/14 20:00,0.17,1000,0.17,0.17,,,,,,2.283333333,0.916,0,0.9144,107,13.0425,18.69166667,80.91666667,11.42916667,0.9984,2.13380201,,
3/1/14 21:00,0.17,1000,0.17,0.17,,,,,,2.291666667,0.807,0,0.9144,109.5,13.22875,18.57083333,81.20833333,12.57208333,1.1074,2.112848593,,
3/1/14 22:00,0.17,1000,0.17,0.17,,,,,,2.3,0.738,0,0.908304,112,13.415,18.45,81.5,13.715,1.170304,2.092679573,,
3/1/14 23:00,0.17,1000,0.17,0.17,,,,,,2.308333333,0.744,0,0.896112,114.5,13.60125,18.32916667,81.79166667,14.85791667,1.152112,1.667899323,,
3/2/14 0:00,0.17,1000,0.17,0.17,,,,,,2.316666667,0.831,0,0.880872,117,13.7875,18.20833333,82.08333333,16.00083333,1.049872,1.667899323,,
3/2/14 1:00,0.17,1000,0.17,0.17,,,,,,2.325,0.931,0,0.865632,119.5,13.97375,18.0875,82.375,17.14375,0.934632,2.017788721,,
3/2/14 2:00,0.17,1000,0.17,0.17,,,,,,2.333333333,1.078,0,0.856488,122,14.16,17.96666667,82.66666667,18.28666667,0.778488,2.013352228,,
3/2/14 3:00,0.17,1000,0.17,0.17,,,,,,2.341666667,1.253,0,0.85344,124.5,14.34625,17.84583333,82.95833333,19.42958333,0.60044,1.993636085,,
3/2/14 4:00,0.17,1000,0.17,0.17,,,,,,2.35,1.357,0,0.862584,127,14.5325,17.725,83.25,20.5725,0.505584,1.973288489,,
3/2/14 5:00,0.17,1000,0.17,0.17,,,,,,2.358333333,1.404,0,0.877824,129.5,14.71875,17.60416667,83.54166667,21.71541667,0.473824,1.949554277,,
3/2/14 6:00,0.17,1000,0.17,0.17,,,,,,2.366666667,1.329,0,0.896112,132,14.905,17.48333333,83.83333333,22.85833333,0.567112,1.925207091,,
3/2/14 7:00,0.17,1000,0.17,0.17,,,,,,2.375,1.222,0,0.9144,134.5,15.09125,17.3625,84.125,24.00125,0.6924,1.905044509,,
3/2/14 8:00,0.17,1000,0.17,0.17,,,,,,2.383333333,1.031,0,0.932688,137,15.2775,17.24166667,84.41666667,25.14416667,0.901688,1.889507247,,
3/2/14 9:00,0.17,1000,0.17,0.17,,,,,,2.391666667,0.881,0,0.941832,139.5,15.46375,17.12083333,84.70833333,26.28708333,1.060832,1.88069172,,
3/2/14 10:00,0.17,1000,0.17,0.17,,,,,,2.4,0.757,0,0.947928,142,15.65,17,85,27.43,1.190928,1.864146663,,
3/2/14 11:00,0.17,1000,0.17,0.17,,,,,,2.405416667,0.735,0,0.935736,145.875,15.66833333,17.03333333,84.58333333,26.40333333,1.200736,1.843037201,,
3/2/14 12:00,0.17,1000,0.17,0.17,,,,,,2.410833333,0.747,0,0.917448,149.75,15.68666667,17.06666667,84.16666667,25.37666667,1.170448,1.823044849,,
3/2/14 13:00,0.17,1000,0.17,0.17,,,,,,2.41625,0.832,0,0.905256,153.625,15.705,17.1,83.75,24.35,1.073256,1.803042603,,
3/2/14 14:00,0.17,1000,0.17,0.17,,,,,,2.421666667,0.984,0,0.890016,157.5,15.72333333,17.13333333,83.33333333,23.32333333,0.906016,1.780712439,,
3/2/14 15:00,0.17,1000,0.17,0.17,,,,,,2.427083333,1.135,0,0.880872,161.375,15.74166667,17.16666667,82.91666667,22.29666667,0.745872,1.757284952,,
3/2/14 16:00,0.17,1000,0.17,0.17,,,,,,2.4325,1.242,0,0.877824,165.25,15.76,17.2,82.5,21.27,0.635824,1.735978795,,
3/2/14 17:00,0.17,1000,0.17,0.17,,,,,,2.437916667,1.371,0,0.886968,169.125,15.77833333,17.23333333,82.08333333,20.24333333,0.515968,1.717568589,,
3/2/14 18:00,0.17,1000,0.17,0.17,,,,,,2.443333333,1.353,0,0.89916,173,15.79666667,17.26666667,81.66666667,19.21666667,0.54616,1.700163914,,
3/2/14 19:00,0.17,1000,0.17,0.17,,,,,,2.44875,1.218,0,0.917448,176.875,15.815,17.3,81.25,18.19,0.699448,1.678119493,,
3/2/14 20:00,0.17,1000,0.17,0.17,,,,,,2.454166667,1.107,0,0.932688,180.75,15.83333333,17.33333333,80.83333333,17.16333333,0.825688,1.660809947,,
3/2/14 21:00,0.17,1000,0.17,0.17,,,,,,2.459583333,1,0,0.94488,184.625,15.85166667,17.36666667,80.41666667,16.13666667,0.94488,1.641113473,,
3/2/14 22:00,0.17,1000,0.17,0.17,,,,,,2.465,0.927,0,0.947928,188.5,15.87,17.4,80,15.11,1.020928,1.625236465,,
3/2/14 23:00,0.17,1000,0.17,0.17,,,,,,2.470416667,0.825,0,0.94488,192.375,15.88833333,17.43333333,79.58333333,14.08333333,1.11988,1.009360267,,
3/3/14 0:00,0.17,1000,0.17,0.17,,,,,,2.475833333,0.835,0,0.935736,196.25,15.90666667,17.46666667,79.16666667,13.05666667,1.100736,1.009360267,,
3/3/14 1:00,0.17,1000,0.17,0.17,,,,,,2.48125,0.924,0,0.920496,200.125,15.925,17.5,78.75,12.03,0.996496,1.476320578,,
3/3/14 2:00,0.17,1000,0.17,0.17,,,,,,2.486666667,0.993,0,0.908304,204,15.94333333,17.53333333,78.33333333,11.00333333,0.915304,1.533147169,,
3/3/14 3:00,0.17,1000,0.17,0.17,,,,,,2.492083333,1.159,0,0.905256,207.875,15.96166667,17.56666667,77.91666667,9.976666667,0.746256,1.534522606,,
3/3/14 4:00,0.17,1000,0.17,0.17,,,,,,2.4975,1.338,0,0.905256,211.75,15.98,17.6,77.5,8.95,0.567256,1.525334073,,
3/3/14 5:00,0.17,1000,0.17,0.17,,,,,,2.502916667,1.349,0,0.9144,215.625,15.99833333,17.63333333,77.08333333,7.923333333,0.5654,1.517042352,,
3/3/14 6:00,0.17,1000,0.17,0.17,,,,,,2.508333333,1.361,0,0.926592,219.5,16.01666667,17.66666667,76.66666667,6.896666667,0.565592,1.50433488,,
3/3/14 7:00,0.17,1000,0.17,0.17,,,,,,2.51375,1.317,0,0.94488,223.375,16.035,17.7,76.25,5.87,0.62788,1.491038753,,
3/3/14 8:00,0.17,1000,0.17,0.17,,,,,,2.519166667,1.142,0,0.957072,227.25,16.05333333,17.73333333,75.83333333,4.843333333,0.815072,1.478381825,,
3/3/14 9:00,0.17,1000,0.17,0.17,,,,,,2.524583333,0.973,0,0.969264,231.125,16.07166667,17.76666667,75.41666667,3.816666667,0.996264,1.465831352,,
3/3/14 10:00,0.17,1000,0.17,0.17,,,,,,2.53,0.857,0,0.972312,235,16.09,17.8,75,2.79,1.115312,1.456567241,,
3/3/14 11:00,0.17,1000,0.17,0.17,,,,,,2.488333333,0.736,0,0.963168,229.7083333,15.68041667,17.75833333,75.25,2.67375,1.227168,1.449902726,,
3/3/14 12:00,0.17,1000,0.17,0.17,,,,,,2.446666667,0.738,0,0.950976,224.4166667,15.27083333,17.71666667,75.5,2.5575,1.212976,1.444609476,,
3/3/14 13:00,0.17,1000,0.17,0.17,,,,,,2.405,0.756,0,0.935736,219.125,14.86125,17.675,75.75,2.44125,1.179736,1.43999107,,
3/3/14 14:00,0.17,1000,0.17,0.17,,,,,,2.363333333,0.897,0,0.9144,213.8333333,14.45166667,17.63333333,76,2.325,1.0174,1.435754729,,
3/3/14 15:00,0.17,1000,0.17,0.17,,,,,,2.321666667,1.028,0,0.902208,208.5416667,14.04208333,17.59166667,76.25,2.20875,0.874208,1.430747939,,
3/3/14 16:00,0.17,1000,0.17,0.17,,,,,,2.28,1.181,0,0.893064,203.25,13.6325,17.55,76.5,2.0925,0.712064,1.425756527,,
3/3/14 17:00,0.17,1000,0.17,0.17,,,,,,2.238333333,1.31,0,0.896112,197.9583333,13.22291667,17.50833333,76.75,1.97625,0.586112,1.421687795,,
3/3/14 18:00,0.17,1000,0.17,0.17,,,,,,2.196666667,1.354,0,0.905256,192.6666667,12.81333333,17.46666667,77,1.86,0.551256,1.419005705,,
3/3/14 19:00,0.17,1000,0.17,0.17,,,,,,2.155,1.332,0,0.920496,187.375,12.40375,17.425,77.25,1.74375,0.588496,1.416284276,,
3/3/14 20:00,0.17,1000,0.17,0.17,,,,,,2.113333333,1.213,0,0.932688,182.0833333,11.99416667,17.38333333,77.5,1.6275,0.719688,1.416157318,,
3/3/14 21:00,0.17,1000,0.17,0.17,,,,,,2.071666667,1.101,0,0.947928,176.7916667,11.58458333,17.34166667,77.75,1.51125,0.846928,1.415676428,,
3/3/14 22:00,0.17,1000,0.17,0.17,,,,,,2.03,0.988,0,0.954024,171.5,11.175,17.3,78,1.395,0.966024,1.412451459,,
3/3/14 23:00,0.17,1000,0.17,0.17,,,,,,1.988333333,0.889,0,0.957072,166.2083333,10.76541667,17.25833333,78.25,1.27875,1.068072,0.831234051,,
3/4/14 0:00,0.17,1000,0.17,0.17,,,,,,1.946666667,0.837,0,0.950976,160.9166667,10.35583333,17.21666667,78.5,1.1625,1.113976,0.831234051,,
3/4/14 1:00,0.17,1000,0.17,0.17,,,,,,1.905,0.828,0,0.938784,155.625,9.94625,17.175,78.75,1.04625,1.110784,1.279612733,,
3/4/14 2:00,0.17,1000,0.17,0.17,,,,,,1.863333333,0.881,0,0.923544,150.3333333,9.536666667,17.13333333,79,0.93,1.042544,1.355394078,,
3/4/14 3:00,0.17,1000,0.17,0.17,,,,,,1.821666667,0.981,0,0.911352,145.0416667,9.127083333,17.09166667,79.25,0.81375,0.930352,1.363584352,,
3/4/14 4:00,0.17,1000,0.17,0.17,,,,,,1.78,1.076,0,0.902208,139.75,8.7175,17.05,79.5,0.6975,0.826208,1.356265617,,
3/4/14 5:00,0.17,1000,0.17,0.17,,,,,,1.738333333,1.175,0,0.902208,134.4583333,8.307916667,17.00833333,79.75,0.58125,0.727208,1.344474865,,
3/4/14 6:00,0.17,1000,0.17,0.17,,,,,,1.696666667,1.214,0,0.908304,129.1666667,7.898333333,16.96666667,80,0.465,0.694304,1.332650853,,
3/4/14 7:00,0.17,1000,0.17,0.17,,,,,,1.655,1.168,0,0.917448,123.875,7.48875,16.925,80.25,0.34875,0.749448,1.321365548,,
3/4/14 8:00,0.17,1000,0.17,0.17,,,,,,1.613333333,1.099,0,0.92964,118.5833333,7.079166667,16.88333333,80.5,0.2325,0.83064,1.311562611,,
3/4/14 9:00,0.17,1000,0.17,0.17,,,,,,1.571666667,0.977,0,0.935736,113.2916667,6.669583333,16.84166667,80.75,0.11625,0.958736,1.303847981,,
3/4/14 10:00,0.17,1000,0.17,0.17,,,,,,1.53,0.842,0,0.938784,108,6.26,16.8,81,0,1.096784,1.295477105,,
