time,Rn_air__Bqm3,Rn_gw_surf__Bqm3,Rn_gw_btm__Bqm3,Ra226_wat_surf__Bqm3,Ra226_wat_btm__Bqm3,Rn_wat_surf_ups__Bqm3,Rn_wat_surf_dws__Bqm3,Rn_wat_btm_ups__Bqm3,Rn_wat_btm_dws__Bqm3,q_surf_ups__m3d,q_surf_dws__m3d,q_btm_ups__m3d,q_btm_dws__m3d,a_box__m2,temp_wat__C,sal_wat_surf_ups,sal_wat_surf_dws,sal_wat_btm_ups,sal_wat_btm_dws,wat_current__cms,wind__ms,d_box_surf__m,d_box_btm__m,f_dif__Bqm2hr
2012-01-26 11:10,0.17,1900,1900,0.17,0.17,17.83,17.83,142.74,142.74,2,2,2,2,100,17.96,21.46,28,0.1,29.71,,3,1000,1000,29.28
2012-01-26 12:10,0.17,1900,1900,0.17,0.17,19.06,19.06,152.08,152.08,2,2,2,2,100,19.46,15.09,28,0.1,28.53,,3,1000,1000,29.28
2012-01-26 13:10,0.17,1900,1900,0.17,0.17,19.47,19.47,132.7,132.7,2,2,2,2,100,19.74,13.56,28,0.1,29.6,,3,1000,1000,29.28
2012-01-26 14:10,0.17,1900,1900,0.17,0.17,19.21,19.21,114.37,114.37,2,2,2,2,100,19.36,14.45,28,0.1,29.37,,3,1000,1000,29.28
2012-01-26 15:10,0.17,1900,1900,0.17,0.17,19.53,19.53,200.3,200.3,2,2,2,2,100,19.58,13.98,28,0.1,30.29,,3,1000,1000,29.28
2012-01-26 16:10,0.17,1900,1900,0.17,0.17,19.7,19.7,104.99,104.99,2,2,2,2,100,20.01,13.18,28,0.1,30.31,,3,1000,1000,29.28
2012-01-26 17:10,0.17,1900,1900,0.17,0.17,19.2,19.2,152.36,152.36,2,2,2,2,100,19.07,15.89,28,0.1,29.82,,3,1000,1000,29.28
2012-01-26 18:10,0.17,1900,1900,0.17,0.17,20.79,20.79,107.57,107.57,2,2,2,2,100,19.13,16.15,28,0.1,29.44,,3,1000,1000,29.28
2012-01-26 19:10,0.17,1900,1900,0.17,0.17,18.83,18.83,93.05,93.05,2,2,2,2,100,19.2,12.82,28,0.1,29.56,,3,1000,1000,29.28
2012-01-26 20:10,0.17,1900,1900,0.17,0.17,19.3,19.3,113.02,113.02,2,2,2,2,100,19.25,10.91,28,0.1,29.98,,3,1000,1000,29.28
2012-01-26 21:10,0.17,1900,1900,0.17,0.17,19.06,19.06,114.29,114.29,2,2,2,2,100,18.94,10.28,28,0.1,29.78,,3,1000,1000,29.28
2012-01-26 22:10,0.17,1900,1900,0.17,0.17,18.97,18.97,47.68,47.68,2,2,2,2,100,18.88,7.64,28,0.1,30.2,,3,1000,1000,29.28
2012-01-26 23:10,0.17,1900,1900,0.17,0.17,18.98,18.98,124.47,124.47,2,2,2,2,100,18.94,8.1,28,0.1,30.31,,3,1000,1000,29.28
2012-01-27 0:10,0.17,1900,1900,0.17,0.17,19.36,19.36,219.84,219.84,2,2,2,2,100,19.09,6.63,28,0.1,29.53,,3,1000,1000,29.28
2012-01-27 1:10,0.17,1900,1900,0.17,0.17,19.91,19.91,229,229,2,2,2,2,100,20.07,4.65,28,0.1,29.37,,3,1000,1000,29.28
2012-01-27 2:10,0.17,1900,1900,0.17,0.17,20.15,20.15,151.41,151.41,2,2,2,2,100,20.11,3.29,28,0.1,28.54,,3,1000,1000,29.28
2012-01-27 3:10,0.17,1900,1900,0.17,0.17,20.26,20.26,114.34,114.34,2,2,2,2,100,20.18,3.28,28,0.1,28.94,,3,1000,1000,29.28
2012-01-27 4:10,0.17,1900,1900,0.17,0.17,20.34,20.34,248.04,248.04,2,2,2,2,100,20.39,3.22,28,0.1,28.87,,3,1000,1000,29.28
2012-01-27 5:10,0.17,1900,1900,0.17,0.17,20.23,20.23,246.6,246.6,2,2,2,2,100,20.07,3.59,28,0.1,28.14,,3,1000,1000,29.28
