time,Rn_air__Bqm3,Rn_gw__Bqm3,Ra226_wat__Bqm3,Rn_wat_ups__Bqm3,Rn_wat_dws__Bqm3,q_ups__m3d,q_dws__m3d,a_box__m2,temp_wat__C,sal_wat_ups,sal_wat_dws,wat_current__cms,wind__ms,depth__m,f_dif__Bqm2hr
2012-01-26 11:10,0.17,1900,0.17,25,17.83,2,2,100,17.96,21.46,21.46,,3,0.77,29.28
2012-01-26 12:10,0.17,1900,0.17,25,19.06,2,2,100,19.46,15.09,15.09,,3,0.43,29.28
2012-01-26 13:10,0.17,1900,0.17,25,19.47,2,2,100,19.74,13.56,13.56,,3,0.38,29.28
2012-01-26 14:10,0.17,1900,0.17,25,19.21,2,2,100,19.36,14.45,14.45,,3,0.3,29.28
2012-01-26 15:10,0.17,1900,0.17,25,19.53,2,2,100,19.58,13.98,13.98,,3,0.55,29.28
2012-01-26 16:10,0.17,1900,0.17,25,19.7,2,2,100,20.01,13.18,13.18,,3,0.45,29.28
2012-01-26 17:10,0.17,1900,0.17,25,19.2,2,2,100,19.07,15.89,15.89,,3,0.39,29.28
2012-01-26 18:10,0.17,1900,0.17,25,20.79,2,2,100,19.13,16.15,16.15,,3,0.4,29.28
2012-01-26 19:10,0.17,1900,0.17,25,18.83,2,2,100,19.2,12.82,12.82,,3,0.3,29.28
2012-01-26 20:10,0.17,1900,0.17,25,19.3,2,2,100,19.25,10.91,10.91,,3,0.22,29.28
2012-01-26 21:10,0.17,1900,0.17,25,19.06,2,2,100,18.94,10.28,10.28,,3,0.34,29.28
2012-01-26 22:10,0.17,1900,0.17,25,18.97,2,2,100,18.88,7.64,7.64,,3,0.3,29.28
2012-01-26 23:10,0.17,1900,0.17,25,18.98,2,2,100,18.94,8.1,8.1,,3,0.44,29.28
2012-01-27 0:10,0.17,1900,0.17,25,19.36,2,2,100,19.09,6.63,6.63,,3,0.32,29.28
2012-01-27 1:10,0.17,1900,0.17,25,19.91,2,2,100,20.07,4.65,4.65,,3,0.34,29.28
2012-01-27 2:10,0.17,1900,0.17,25,20.15,2,2,100,20.11,3.29,3.29,,3,0.31,29.28
2012-01-27 3:10,0.17,1900,0.17,25,20.26,2,2,100,20.18,3.28,3.28,,3,0.32,29.28
2012-01-27 4:10,0.17,1900,0.17,25,20.34,2,2,100,20.39,3.22,3.22,,3,0.34,29.28
2012-01-27 5:10,0.17,1900,0.17,25,20.23,2,2,100,20.07,3.59,3.59,,3,0.37,29.28
