time,Rn_air__Bqm3,Rn_gw__Bqm3,layerID,d_box__m,a_box__m2,Rn_exch__Bqm3,Rn_wat__Bqm3,temp_wat__C,sal_wat,wind__ms,f_dif__Bqm2hr
2012-01-26 11:10,0.37,53065,epilimnion,4,10,,25.92,26,0.1,2.7,2
2012-01-26 12:10,0.37,53065,epilimnion,4,10,,62.4,26,0.1,2.7,2
2012-01-26 13:10,0.37,53065,epilimnion,4,30,,22.8,26.4,0.1,2.7,2
2012-01-26 14:10,0.37,53065,epilimnion,4,30,,27.2,26,0.1,2.7,2
2012-01-26 15:10,0.37,53065,metalimnion,4,10,,32.32,14.8,0.1,2.7,2
2012-01-26 16:10,0.37,53065,metalimnion,4,10,,34.24,9.7,0.1,2.7,2
2012-01-26 17:10,0.37,53065,metalimnion,4,30,,39.2,14.7,0.1,2.7,2
2012-01-26 18:10,0.37,53065,metalimnion,4,30,,7.2,10.5,0.1,2.7,2
2012-01-26 19:10,0.37,53065,hypolimnion,6,10,,128,8.3,0.1,2.7,2
2012-01-26 20:10,0.37,53065,hypolimnion,6,10,,460.8,8.3,0.1,2.7,2
2012-01-26 21:10,0.37,53065,hypolimnion,8,30,,54.8,8.4,0.1,2.7,2
2012-01-26 22:10,0.37,53065,hypolimnion,8,30,,353.6,8.4,0.1,2.7,2
