time,Rn_air__Bqm3,Rn_gw__Bqm3,Rn_offshore__Bqm3,Ra226_wat__Bqm3,Rn_exch__Bqm3,Rn_wat__Bqm3,Rn_wat_surf__Bqm3,Rn_wat_bot__Bqm3,Rn_dws_Bqm3,q_dws__m3d,Rn_ups__Bqm3,q_ups__m3d,Ra226_sed__Bqg,v_box__m3,a_box__m2,temp_wat__C,sal_wat,sal_dws,sal_ups,sal_bot,wind__ms,depth__m,f_mix_exp__Bqm2hr,f_dif__Bqm2hr
1/26/12 11:10,0.17,1000,0.17,0.17,4.605522,,,,,,,,,,,24.1,33,,,,3.6,1.129,,2
1/26/12 12:10,0.17,1000,0.17,0.17,26.33286,,,,,,,,,,,24.2,33,,,,2.1,1.16,,2
1/26/12 13:10,0.17,1000,0.17,0.17,40.2738,,,,,,,,,,,24.39,33,,,,2.6,1.215,,3
1/26/12 14:10,0.17,1000,0.17,0.17,55.78883,,,,,,,,,,,24.91,33,,,,2.1,1.28,,2
1/26/12 15:10,0.17,1000,0.17,0.17,65.08697,,,,,,,,,,,24.85,33,,,,2.6,1.325,,4
1/26/12 16:10,0.17,1000,0.17,0.17,69.73603,,,,,,,,,,,24.94,33,,,,2.6,1.361,,2
1/26/12 17:10,0.17,1000,0.17,0.17,75.93479,,,,,,,,,,,24.58,33,,,,1.5,1.373,,5
1/26/12 18:10,0.17,1000,0.17,0.17,58.8617,,,,,,,,,,,24.61,33,,,,2.1,1.343,,2
1/26/12 19:10,0.17,1000,0.17,0.17,77.48447,,,,,,,,,,,24.34,33,,,,4.1,1.319,,6
1/26/12 20:10,0.17,1000,0.17,0.17,75.93479,,,,,,,,,,,24.27,33,,,,4.6,1.245,,2
1/26/12 21:10,0.17,1000,0.17,0.17,80.58385,,,,,,,,,,,24.14,33,,,,6.2,1.151,,7
1/26/12 22:10,0.17,1000,0.17,0.17,99.18014,,,,,,,,,,,24.3,33,,,,6.2,1.102,,2
1/26/12 23:10,0.17,1000,0.17,0.17,75.93479,,,,,,,,,,,24.14,33,,,,6.2,1.149,,8
1/27/12 0:10,0.17,1000,0.17,0.17,85.23293,,,,,,,,,,,24.05,33,,,,5.1,1.19,,2
1/27/12 1:10,0.17,1000,0.17,0.17,77.48447,,,,,,,,,,,24.05,33,,,,6.7,1.294,,9
1/27/12 2:10,0.17,1000,0.17,0.17,66.63665,,,,,,,,,,,24.02,33,,,,4.6,1.413,,2
1/27/12 3:10,0.17,1000,0.17,0.17,69.73603,,,,,,,,,,,24.1,33,,,,5.7,1.514,,10
1/27/12 4:10,0.17,1000,0.17,0.17,52.68945,,,,,,,,,,,24.11,33,,,,3.6,1.592,,2
1/27/12 5:10,0.17,1000,0.17,0.17,55.78883,,,,,,,,,,,24.11,33,,,,4.1,1.613,,11
1/27/12 6:10,0.17,1000,0.17,0.17,41.84162,,,,,,,,,,,24.13,33,,,,3.1,1.557,,2
1/27/12 7:10,0.17,1000,0.17,0.17,54.23914,,,,,,,,,,,24.12,33,,,,2.6,1.457,,12
1/27/12 8:10,0.17,1000,0.17,0.17,23.23488,,,,,,,,,,,24.08,33,,,,0,1.342,,2
1/27/12 9:10,0.17,1000,0.17,0.17,13.94093,,,,,,,,,,,24.07,33,,,,0,1.218,,13
1/27/12 10:10,0.17,1000,0.17,0.17,4.644887,,,,,,,,,,,24.1,33,,,,0,1.122,,2
1/27/12 11:10,0.17,1000,0.17,0.17,9.293953,,,,,,,,,,,24.44,33,,,,0,1.086,,14
1/27/12 12:10,0.17,1000,0.17,0.17,23.23488,,,,,,,,,,,25.19,33,,,,0,1.077,,2
1/27/12 13:10,0.17,1000,0.17,0.17,77.48447,,,,,,,,,,,26.43,33,,,,0,1.117,,15
1/27/12 14:10,0.17,1000,0.17,0.17,27.88186,,,,,,,,,,,26.95,33,,,,2.6,1.197,,2
1/27/12 15:10,0.17,1000,0.17,0.17,83.68324,,,,,,,,,,,27.03,33,,,,0,1.274,,16
