Rad Cycle,Rad End Time,Rad Start Time,Rad Mid Time,days,Avg Live Time,Tot Counts in Win-A,Cpm in Win-A,Cpm Uncert,Rn in Exchanger dpm/m3,Rn Exchngr Unc dpm/m3,Humidity,Rn in Air dpm/m3,Rn in Air Uncertainty,Water Level m,Cond surface,Water Temperature C,K Oswald Temp Con Factor,Rn in Water dpm/m3,Rn in Water Unc,Wind speed (m/s),,,,,,,,,,,,,,,,,,,
1,12-08-2008 16:40:00,12-08-2008 16:10:00,12-08-2008 16:25:00,0.0000000,27.9000000,32.4300000,1.1623656,0.2041123,4199.0742881,734.3801379,9.0000000,393.8300400,453.4510800,1.2286868,0.2706667,23.2960000,0.2305617,968.1456409,169.3199216,2.0861867,,,,,,,,,,,,,,,,,,,
2,12-08-2008 17:10:00,12-08-2008 16:40:00,12-08-2008 16:55:00,0.0208333,27.9000000,61.0740000,2.1890323,0.2801070,7911.1264054,1009.1491274,8.0000000,393.8300400,453.4510800,1.2273068,0.2713667,22.2980000,0.2370217,1875.1089471,239.1902822,1.6391467,,,,,,,,,,,,,,,,,,,
3,12-08-2008 17:40:00,12-08-2008 17:10:00,12-08-2008 17:25:00,0.0416667,27.9000000,78.0740000,2.7983513,0.3167007,10114.2016041,1141.4585270,8.0000000,1028.3880300,484.7310900,1.2033484,0.2730000,20.8993333,0.2466384,2494.5508584,281.5275451,1.4901333,,,,,,,,,,,,,,,,,,,
4,12-08-2008 18:10:00,12-08-2008 17:40:00,12-08-2008 17:55:00,0.0625000,28.0000000,62.9520000,2.2482857,0.2833653,8125.3652862,1020.9300723,9.0000000,1662.9460200,516.0111000,1.1938072,0.2730000,19.1173333,0.2599122,2111.8818387,265.3522152,1.9371733,,,,,,,,,,,,,,,,,,,
5,12-08-2008 18:40:00,12-08-2008 18:10:00,12-08-2008 18:25:00,0.0833333,28.0000000,84.1320000,3.0047143,0.3275839,10860.3350396,1180.8083093,7.0000000,2297.5040100,547.2911100,1.1864012,0.2730000,18.1026667,0.2680189,2910.7748186,316.4789189,1.7881600,,,,,,,,,,,,,,,,,,,
6,12-08-2008 19:10:00,12-08-2008 18:40:00,12-08-2008 18:55:00,0.1041667,28.0000000,74.0520000,2.6447143,0.3073338,9558.7063751,1107.5913639,7.0000000,2932.0620000,578.5711200,1.1808984,0.2729667,17.3680000,0.2741520,2620.5384509,303.6483854,1.6391467,,,,,,,,,,,,,,,,,,,
7,12-08-2008 19:40:00,12-08-2008 19:10:00,12-08-2008 19:25:00,0.1250000,28.0000000,77.0800000,2.7528571,0.3135543,9949.7114937,1130.0824809,6.0000000,2270.5119300,488.7846150,1.1785333,0.2729000,16.5573333,0.2811877,2797.7365194,317.7652969,1.1921067,,,,,,,,,,,,,,,,,,,
8,12-08-2008 20:10:00,12-08-2008 19:40:00,12-08-2008 19:55:00,0.1458333,28.0000000,71.0640000,2.5380000,0.3010695,9172.8664495,1084.9419203,6.0000000,1608.9618600,398.9981100,1.1746539,0.2720667,15.8733333,0.2873512,2635.8343531,311.7593830,0.8940800,,,,,,,,,,,,,,,,,,,
9,12-08-2008 20:40:00,12-08-2008 20:10:00,12-08-2008 20:25:00,0.1666667,28.0000000,67.0680000,2.3952857,0.2924823,8656.8636575,1053.8937974,6.0000000,947.4117900,309.2116050,1.1700961,0.2720667,15.3340000,0.2923628,2530.9449677,308.1193500,0.8940800,,,,,,,,,,,,,,,,,,,
10,12-08-2008 21:10:00,12-08-2008 20:40:00,12-08-2008 20:55:00,0.1875000,28.0000000,75.0500000,2.6803571,0.3093979,9687.5779432,1115.0541813,6.0000000,285.8617200,219.4251000,1.1686816,0.2720000,14.9766667,0.2957588,2865.1868543,329.7871357,0.7450667,,,,,,,,,,,,,,,,,,,
11,12-08-2008 21:40:00,12-08-2008 21:10:00,12-08-2008 21:25:00,0.2083333,28.0000000,75.0750000,2.6812500,0.3094494,9690.8061889,1115.2404865,5.0000000,285.8617200,219.4251000,1.1665387,0.2720000,14.7740000,0.2977122,2885.0716091,332.0207424,1.1921067,,,,,,,,,,,,,,,,,,,
12,12-08-2008 22:10:00,12-08-2008 21:40:00,12-08-2008 21:55:00,0.2291667,28.0000000,81.9400000,2.9264286,0.3232883,10577.2824570,1165.2768102,5.0000000,285.8617200,219.4251000,1.1652507,0.2720000,14.7486667,0.2979578,3151.5839774,347.2033331,1.3411200,,,,,,,,,,,,,,,,,,,
13,12-08-2008 22:40:00,12-08-2008 22:10:00,12-08-2008 22:25:00,0.2500000,28.0000000,68.0560000,2.4305714,0.2946288,8784.4439274,1061.6545739,5.0000000,285.8617200,219.4251000,1.1629277,0.2720000,14.8500000,0.2969774,2608.7811668,315.2873968,1.0430933,,,,,,,,,,,,,,,,,,,
14,12-08-2008 23:10:00,12-08-2008 22:40:00,12-08-2008 22:55:00,0.2708333,28.0000000,69.0120000,2.4647143,0.2966909,8907.8920428,1069.1105424,5.0000000,285.8617200,219.4251000,1.1598591,0.2720000,14.4700000,0.3006799,2678.4240995,321.4600523,0.4470400,,,,,,,,,,,,,,,,,,,
15,12-08-2008 23:40:00,12-08-2008 23:10:00,12-08-2008 23:25:00,0.2916667,28.0000000,69.0120000,2.4647143,0.2966909,8907.8920428,1069.1105424,5.0000000,279.8767800,217.7163750,1.1566640,0.2720000,14.0380000,0.3049759,2716.6922999,326.0529387,0.4470400,,,,,,,,,,,,,,,,,,,
16,12-09-2008 00:10:00,12-08-2008 23:40:00,12-08-2008 23:55:00,0.3125000,28.0000000,62.0730000,2.2168929,0.2813801,8011.8601675,1013.7520517,5.0000000,273.8918400,216.0076500,1.1551997,0.2720000,13.5733333,0.3097021,2481.2896710,313.9611079,0.5960533,,,,,,,,,,,,,,,,,,,
17,12-09-2008 00:40:00,12-09-2008 00:10:00,12-09-2008 00:25:00,0.3333333,28.0000000,80.1000000,2.8607143,0.3196379,10339.6835738,1152.0782888,5.0000000,267.9069000,214.2989250,1.1516979,0.2720000,13.3200000,0.3123256,3229.3482249,359.8235817,0.4470400,,,,,,,,,,,,,,,,,,,
18,12-09-2008 01:10:00,12-09-2008 00:40:00,12-09-2008 00:55:00,0.3541667,28.0000000,57.0570000,2.0377500,0.2697717,7364.1449511,971.7805182,5.0000000,261.9219600,212.5902000,1.1509753,0.2720000,13.3200000,0.3123256,2300.0112389,303.5119662,0.5960533,,,,,,,,,,,,,,,,,,,
19,12-09-2008 01:40:00,12-09-2008 01:10:00,12-09-2008 01:25:00,0.3750000,28.0000000,75.9980000,2.7142143,0.3113458,9809.9930200,1122.0972927,5.0000000,244.0529400,210.8228550,1.1513012,0.2720000,12.9300000,0.3164304,3104.1802244,355.0657191,0.7450667,,,,,,,,,,,,,,,,,,,
20,12-09-2008 02:10:00,12-09-2008 01:40:00,12-09-2008 01:55:00,0.3958333,28.0000000,61.9840000,2.2137143,0.2811783,8000.3676128,1013.0224414,5.0000000,226.1839200,209.0555100,1.1536913,0.2720000,12.9300000,0.3164304,2531.5596944,320.5511179,0.2980267,,,,,,,,,,,,,,,,,,,
21,12-09-2008 02:40:00,12-09-2008 02:10:00,12-09-2008 02:25:00,0.4166667,28.0000000,60.9760000,2.1777143,0.2788826,7870.2047464,1004.7221407,5.0000000,208.3149000,207.2881650,1.1580249,0.2720000,12.9300000,0.3164304,2490.3722037,317.9246503,0.1490133,,,,,,,,,,,,,,,,,,,
22,12-09-2008 03:10:00,12-09-2008 02:40:00,12-09-2008 02:55:00,0.4375000,28.0000000,66.9930000,2.3926071,0.2923188,8647.1789204,1053.3023425,5.0000000,190.4458800,205.5208200,1.1568533,0.2720000,12.9300000,0.3164304,2736.2304689,333.2969040,0.7450667,,,,,,,,,,,,,,,,,,,
23,12-09-2008 03:41:00,12-09-2008 03:11:00,12-09-2008 03:26:00,0.4590278,28.0000000,71.0600000,2.5378571,0.3010610,9172.3499302,1084.9112839,5.0000000,226.1357550,212.1300450,1.1533099,0.2720000,13.0340000,0.3153279,2892.2981224,342.1028301,0.4470400,,,,,,,,,,,,,,,,,,,
24,12-09-2008 04:11:00,12-09-2008 03:41:00,12-09-2008 03:56:00,0.4798611,28.0000000,51.0420000,1.8229286,0.2551560,6587.4290368,918.9354277,5.0000000,261.8256300,218.7392700,1.1522557,0.2720000,13.5480000,0.3099629,2041.8587697,284.8359127,1.1921067,,,,,,,,,,,,,,,,,,,
25,12-09-2008 04:41:00,12-09-2008 04:11:00,12-09-2008 04:26:00,0.5006944,28.0000000,60.0880000,2.1460000,0.2768445,7755.5374593,997.3529473,5.0000000,297.5155050,225.3484950,1.1526429,0.2720000,13.5226667,0.3102241,2405.9547254,309.4029329,1.6391467,,,,,,,,,,,,,,,,,,,
26,12-09-2008 05:11:00,12-09-2008 04:41:00,12-09-2008 04:56:00,0.5215278,28.0000000,56.9940000,2.0355000,0.2696228,7356.0097720,971.2418732,5.0000000,333.2053800,231.9577200,1.1541206,0.2720000,13.4720000,0.3107475,2285.8615532,301.8109717,1.4901333,,,,,,,,,,,,,,,,,,,
27,12-09-2008 05:41:00,12-09-2008 05:11:00,12-09-2008 05:26:00,0.5423611,28.0000000,63.0000000,2.2500000,0.2834734,8131.5635179,1021.3205986,5.0000000,297.5369250,221.6011800,1.1580498,0.2716333,13.9860000,0.3054993,2484.1871120,312.0127467,1.6391467,,,,,,,,,,,,,,,,,,,
