time,,,,,,Rn_exch__Bqm3,,,Rn_air__Bqm3,,depth__m,sal_wat,,temp_wat__C,kw_air,Rn_wat__Bqm3,,wind__ms,user_Rn_atm__dpmm3,user_depth__m,user_Rn_ss__dpmm3,user_kin_visc__cm2s,user_mol_diff__cm2s
,,,,,,,,,,,,,,,,,,,,,,,
Rad Mid Time,days,Avg Live Time,Tot Counts in Win-A,Cpm in Win-A,Cpm Uncert,Rn in Exchanger dpm/m3,Rn Exchngr Unc dpm/m3,Humidity,Rn in Air dpm/m3,Rn in Air Uncertainty,Water Level m,Cond surface,,Water Temperature C,K Oswald Temp Con Factor,Rn in Water dpm/m3,Rn in Water Unc,Wind speed (m/s),,,,,
12-08-2008 16:25:00,0,27.9,32,1.16,0.2,4199,734,9,393.8,453.5,1.229,0.271,,23.3,0.23,968,169,2.09,800,1.3,3000,0.01004,0.000012
12-08-2008 16:55:00,0.02,27.9,61,2.19,0.28,7911,1009,8,393.8,453.5,1.227,0.271,,22.3,0.24,1875,239,1.64,800,1.3,3000,0.01004,0.000012
12-08-2008 17:25:00,0.04,27.9,78,2.8,0.32,10114,1141,8,1028.4,484.7,1.203,0.273,,20.9,0.25,2495,282,1.49,800,1.3,3000,0.01004,0.000012
12-08-2008 17:55:00,0.06,28,63,2.25,0.28,8125,1021,9,1662.9,516,1.194,0.273,,19.12,0.26,2112,265,1.94,800,1.3,3000,0.01004,0.000012
12-08-2008 18:25:00,0.08,28,84,3,0.33,10860,1181,7,2297.5,547.3,1.186,0.273,,18.1,0.27,2911,316,1.79,800,1.3,3000,0.01004,0.000012
12-08-2008 18:55:00,0.1,28,74,2.64,0.31,9559,1108,7,2932.1,578.6,1.181,0.273,,17.37,0.27,2621,304,1.64,800,1.3,3000,0.01004,0.000012
12-08-2008 19:25:00,0.13,28,77,2.75,0.31,9950,1130,6,2270.5,488.8,1.179,0.273,,16.56,0.28,2798,318,1.19,800,1.3,3000,0.01004,0.000012
12-08-2008 19:55:00,0.15,28,71,2.54,0.3,9173,1085,6,1609,399,1.175,0.272,,15.87,0.29,2636,312,0.89,800,1.3,3000,0.01004,0.000012
12-08-2008 20:25:00,0.17,28,67,2.4,0.29,8657,1054,6,947.4,309.2,1.17,0.272,,15.33,0.29,2531,308,0.89,800,1.3,3000,0.01004,0.000012
12-08-2008 20:55:00,0.19,28,75,2.68,0.31,9688,1115,6,285.9,219.4,1.169,0.272,,14.98,0.3,2865,330,0.75,800,1.3,3000,0.01004,0.000012
12-08-2008 21:25:00,0.21,28,75,2.68,0.31,9691,1115,5,285.9,219.4,1.167,0.272,,14.77,0.3,2885,332,1.19,800,1.3,3000,0.01004,0.000012
12-08-2008 21:55:00,0.23,28,82,2.93,0.32,10577,1165,5,285.9,219.4,1.165,0.272,,14.75,0.3,3152,347,1.34,800,1.3,3000,0.01004,0.000012
12-08-2008 22:25:00,0.25,28,68,2.43,0.29,8784,1062,5,285.9,219.4,1.163,0.272,,14.85,0.3,2609,315,1.04,800,1.3,3000,0.01004,0.000012
12-08-2008 22:55:00,0.27,28,69,2.46,0.3,8908,1069,5,285.9,219.4,1.16,0.272,,14.47,0.3,2678,321,0.45,800,1.3,3000,0.01004,0.000012
12-08-2008 23:25:00,0.29,28,69,2.46,0.3,8908,1069,5,279.9,217.7,1.157,0.272,,14.04,0.3,2717,326,0.45,800,1.3,3000,0.01004,0.000012
12-08-2008 23:55:00,0.31,28,62,2.22,0.28,8012,1014,5,273.9,216,1.155,0.272,,13.57,0.31,2481,314,0.6,800,1.3,3000,0.01004,0.000012
12-09-2008 00:25:00,0.33,28,80,2.86,0.32,10340,1152,5,267.9,214.3,1.152,0.272,,13.32,0.31,3229,360,0.45,800,1.3,3000,0.01004,0.000012
12-09-2008 00:55:00,0.35,28,57,2.04,0.27,7364,972,5,261.9,212.6,1.151,0.272,,13.32,0.31,2300,304,0.6,800,1.3,3000,0.01004,0.000012
12-09-2008 01:25:00,0.38,28,76,2.71,0.31,9810,1122,5,244.1,210.8,1.151,0.272,,12.93,0.32,3104,355,0.75,800,1.3,3000,0.01004,0.000012
12-09-2008 01:55:00,0.4,28,62,2.21,0.28,8000,1013,5,226.2,209.1,1.154,0.272,,12.93,0.32,2532,321,0.3,800,1.3,3000,0.01004,0.000012
12-09-2008 02:25:00,0.42,28,61,2.18,0.28,7870,1005,5,208.3,207.3,1.158,0.272,,12.93,0.32,2490,318,0.15,800,1.3,3000,0.01004,0.000012
12-09-2008 02:55:00,0.44,28,67,2.39,0.29,8647,1053,5,190.4,205.5,1.157,0.272,,12.93,0.32,2736,333,0.75,800,1.3,3000,0.01004,0.000012
12-09-2008 03:26:00,0.46,28,71,2.54,0.3,9172,1085,5,226.1,212.1,1.153,0.272,,13.03,0.32,2892,342,0.45,800,1.3,3000,0.01004,0.000012
12-09-2008 03:56:00,0.48,28,51,1.82,0.26,6587,919,5,261.8,218.7,1.152,0.272,,13.55,0.31,2042,285,1.19,800,1.3,3000,0.01004,0.000012
12-09-2008 04:26:00,0.5,28,60,2.15,0.28,7756,997,5,297.5,225.3,1.153,0.272,,13.52,0.31,2406,309,1.64,800,1.3,3000,0.01004,0.000012
12-09-2008 04:56:00,0.52,28,57,2.04,0.27,7356,971,5,333.2,232,1.154,0.272,,13.47,0.31,2286,302,1.49,800,1.3,3000,0.01004,0.000012
12-09-2008 05:26:00,0.54,28,63,2.25,0.28,8132,1021,5,297.5,221.6,1.158,0.272,,13.99,0.31,2484,312,1.64,800,1.3,3000,0.01004,0.000012
12-09-2008 05:56:00,0.56,28,62,2.22,0.28,8007,1013,5,261.9,211.2,1.161,0.271,,14.37,0.3,2415,306,1.49,800,1.3,3000,0.01004,0.000012
