time,Rn_air__Bqm3,Rn_gw__Bqm3,Ra226_wat__Bqm3,Rn_wat_ups__Bqm3,Rn_wat_dws__Bqm3,q_ups__m3d,q_dws__m3d,a_box__m2,temp_wat__C,sal_wat_ups,sal_wat_dws,wind__ms,depth__m,f_dif__Bqm2hr,lambda__hr,temp_wat__K,v_box__m3,Rn_wat__Bqm3,sal_wat,kw_air,f_Rn_atm__Bqm2hr,q_gw__m3m2d
2012-01-26T11:10:00Z,0.17,1900,0.17,25,17.83,2,2,100,17.96,21.46,21.46,3,0.77,29.28,0.007521128261284129,291.10999999999996,77,21.415,21.46,0.23843300144561133,0.46915926121932333,0.005852991409400281
2012-01-26T12:10:00Z,0.17,1900,0.17,25,19.06,2,2,100,19.46,15.09,15.09,3,0.43,29.28,0.007521128261284129,292.60999999999996,43,22.03,15.09,0.23539140353318497,0.49562674524077266,0.006199361779105547
2012-01-26T13:10:00Z,0.17,1900,0.17,25,19.47,2,2,100,19.74,13.56,13.56,3,0.38,29.28,0.007521128261284129,292.89,38,22.235,13.56,0.23518734734287458,0.5027126924307065,0.006293054184095509
2012-01-26T14:10:00Z,0.17,1900,0.17,25,19.21,2,2,100,19.36,14.45,14.45,3,0.3,29.28,0.007521128261284129,292.51,30,22.105,14.45,0.23679231412792634,0.49643847513002504,0.006210796542971993
2012-01-26T15:10:00Z,0.17,1900,0.17,25,19.53,2,2,100,19.58,13.98,13.98,3,0.55,29.28,0.007521128261284129,292.72999999999996,55.00000000000001,22.265,13.98,0.23581101057798465,0.5019785685118616,0.006284959220099967
2012-01-26T16:10:00Z,0.17,1900,0.17,25,19.7,2,2,100,20.01,13.18,13.18,3,0.45,29.28,0.007521128261284129,293.15999999999997,45,22.35,13.18,0.23377842780356067,0.5077189256273791,0.006358951767480147
2012-01-26T17:10:00Z,0.17,1900,0.17,25,19.2,2,2,100,19.07,15.89,15.89,3,0.39,29.28,0.007521128261284129,292.21999999999997,39,22.1,15.89,0.23716287564817756,0.49379784958939277,0.006177618002655856
2012-01-26T18:10:00Z,0.17,1900,0.17,25,20.79,2,2,100,19.13,16.15,16.15,3,0.4,29.28,0.007521128261284129,292.28,40,22.895,16.15,0.23645673232578773,0.5121372590894455,0.006426146831171485
2012-01-26T19:10:00Z,0.17,1900,0.17,25,18.83,2,2,100,19.2,12.82,12.82,3,0.3,29.28,0.007521128261284129,292.34999999999997,30,21.915,12.82,0.2397506918405583,0.4907690211831476,0.006135163585032888
2012-01-26T20:10:00Z,0.17,1900,0.17,25,19.3,2,2,100,19.25,10.91,10.91,3,0.22,29.28,0.007521128261284129,292.4,22,22.15,10.91,0.24158613707905438,0.49647112425391177,0.0062119083550581915
2012-01-26T21:10:00Z,0.17,1900,0.17,25,19.06,2,2,100,18.94,10.28,10.28,3,0.34,29.28,0.007521128261284129,292.09,34,22.03,10.28,0.24454236869228438,0.4910763884151973,0.006141603178191327
2012-01-26T22:10:00Z,0.17,1900,0.17,25,18.97,2,2,100,18.88,7.64,7.64,3,0.3,29.28,0.007521128261284129,292.03,30,21.985,7.64,0.24809809027974006,0.48953959255895346,0.006121114571871729
2012-01-26T23:10:00Z,0.17,1900,0.17,25,18.98,2,2,100,18.94,8.1,8.1,3,0.44,29.28,0.007521128261284129,292.09,44,21.990000000000002,8.1,0.24710831881823545,0.4901733102643554,0.0061296595302239125
2012-01-27T00:10:00Z,0.17,1900,0.17,25,19.36,2,2,100,19.09,6.63,6.63,3,0.32,29.28,0.007521128261284129,292.23999999999995,32,22.18,6.63,0.24773816345770053,0.49572299680094856,0.006203408594337131
2012-01-27T01:10:00Z,0.17,1900,0.17,25,19.91,2,2,100,20.07,4.65,4.65,3,0.34,29.28,0.007521128261284129,293.21999999999997,34,22.455,4.65,0.24288678293300403,0.5106090691932872,0.0063973268127142935
2012-01-27T02:10:00Z,0.17,1900,0.17,25,20.15,2,2,100,20.11,3.29,3.29,3,0.31,29.28,0.007521128261284129,293.26,31,22.575,3.29,0.24414892288492973,0.5136972652568119,0.006438776516494481
2012-01-27T03:10:00Z,0.17,1900,0.17,25,20.26,2,2,100,20.18,3.28,3.28,3,0.32,29.28,0.007521128261284129,293.33,32,22.630000000000003,3.28,0.24365440079056697,0.515583792089297,0.006463802984052657
2012-01-27T04:10:00Z,0.17,1900,0.17,25,20.34,2,2,100,20.39,3.22,3.22,3,0.34,29.28,0.007521128261284129,293.53999999999996,34,22.67,3.22,0.24221447212588715,0.5184008990216822,0.006500300355918403
2012-01-27T05:10:00Z,0.17,1900,0.17,25,20.23,2,2,100,20.07,3.59,3.59,3,0.37,29.28,0.007521128261284129,293.21999999999997,37,22.615000000000002,3.59,0.24409558316638297,0.5142493646049299,0.006446795116899574
,,,,,,,,,,,,,,,,,,,,,,0.11899373933777539
